# x	y	u	v	flags	mask
4.7659e-01	6.1024e+00	-3.3538e-02	-3.7514e-02	0.0000e+00	0.0000e+00
6.9416e-01	6.1024e+00	-5.4932e-02	-3.5042e-03	0.0000e+00	0.0000e+00
9.1173e-01	6.1024e+00	-1.1974e-01	9.9486e-03	0.0000e+00	0.0000e+00
1.1293e+00	6.1024e+00	-1.3445e-01	1.9560e-02	0.0000e+00	0.0000e+00
1.3469e+00	6.1024e+00	-9.3763e-02	2.1044e-02	0.0000e+00	0.0000e+00
1.5644e+00	6.1024e+00	-1.4503e-01	3.6652e-02	0.0000e+00	0.0000e+00
1.7820e+00	6.1024e+00	-2.2674e-01	-2.0498e-02	0.0000e+00	0.0000e+00
1.9996e+00	6.1024e+00	-2.2723e-01	3.8940e-02	0.0000e+00	0.0000e+00
2.2172e+00	6.1024e+00	-2.3884e-01	1.8607e-02	0.0000e+00	0.0000e+00
2.4347e+00	6.1024e+00	-1.8690e-01	1.0308e-03	0.0000e+00	0.0000e+00
2.6523e+00	6.1024e+00	-1.0646e-01	-4.5738e-03	0.0000e+00	0.0000e+00
2.8699e+00	6.1024e+00	-1.2801e-01	-2.6489e-04	0.0000e+00	0.0000e+00
3.0874e+00	6.1024e+00	-1.3344e-01	1.5327e-02	0.0000e+00	0.0000e+00
3.3050e+00	6.1024e+00	-1.6604e-01	2.5841e-02	0.0000e+00	0.0000e+00
3.5226e+00	6.1024e+00	-1.8637e-01	6.2793e-02	0.0000e+00	0.0000e+00
3.7402e+00	6.1024e+00	-2.3210e-01	8.1490e-02	0.0000e+00	0.0000e+00
3.9577e+00	6.1024e+00	-3.2036e-01	2.1743e-02	0.0000e+00	0.0000e+00
4.1753e+00	6.1024e+00	-2.4978e-01	8.4941e-02	0.0000e+00	0.0000e+00
4.3929e+00	6.1024e+00	-4.0483e-01	5.1296e-02	0.0000e+00	0.0000e+00
4.6104e+00	6.1024e+00	-3.3114e-01	-2.4727e-01	0.0000e+00	0.0000e+00
4.8280e+00	6.1024e+00	-4.0307e-01	-3.2432e-01	0.0000e+00	0.0000e+00
5.0456e+00	6.1024e+00	2.4654e+00	-3.7088e+00	0.0000e+00	0.0000e+00
5.2632e+00	6.1024e+00	-2.5077e+00	-2.6791e+00	0.0000e+00	0.0000e+00
5.4807e+00	6.1024e+00	-1.2793e+00	-1.3800e+00	1.0000e+00	0.0000e+00
