# x	y	u	v	flags	mask
2.1757e-01	1.1189e+00	2.5506e+00	-2.2373e-02	0.0000e+00	0.0000e+00
4.3514e-01	1.1189e+00	2.5831e+00	-1.1843e-02	0.0000e+00	0.0000e+00
6.5271e-01	1.1189e+00	2.5791e+00	-1.7526e-02	0.0000e+00	0.0000e+00
8.7029e-01	1.1189e+00	2.5802e+00	-7.7287e-03	0.0000e+00	0.0000e+00
1.0879e+00	1.1189e+00	2.5825e+00	-1.9418e-02	0.0000e+00	0.0000e+00
1.3054e+00	1.1189e+00	2.5867e+00	2.4158e-02	0.0000e+00	0.0000e+00
1.5230e+00	1.1189e+00	2.5731e+00	-4.6472e-03	0.0000e+00	0.0000e+00
1.7406e+00	1.1189e+00	2.5833e+00	-3.5674e-02	0.0000e+00	0.0000e+00
1.9581e+00	1.1189e+00	2.5741e+00	-4.3416e-03	0.0000e+00	0.0000e+00
2.1757e+00	1.1189e+00	2.5860e+00	8.1377e-03	0.0000e+00	0.0000e+00
2.3933e+00	1.1189e+00	2.5809e+00	3.6893e-03	0.0000e+00	0.0000e+00
2.6109e+00	1.1189e+00	2.5892e+00	3.7921e-03	0.0000e+00	0.0000e+00
2.8284e+00	1.1189e+00	2.5708e+00	-2.4592e-03	0.0000e+00	0.0000e+00
3.0460e+00	1.1189e+00	2.5907e+00	1.0845e-03	0.0000e+00	0.0000e+00
3.2636e+00	1.1189e+00	2.5780e+00	-6.2249e-03	0.0000e+00	0.0000e+00
3.4811e+00	1.1189e+00	2.5818e+00	-1.8729e-02	0.0000e+00	0.0000e+00
2.1757e-01	9.0137e-01	2.5634e+00	-4.2550e-03	0.0000e+00	0.0000e+00
4.3514e-01	9.0137e-01	2.5877e+00	-4.0083e-03	0.0000e+00	0.0000e+00
6.5271e-01	9.0137e-01	2.5728e+00	-3.0659e-02	0.0000e+00	0.0000e+00
8.7029e-01	9.0137e-01	2.5793e+00	-5.7845e-03	0.0000e+00	0.0000e+00
1.0879e+00	9.0137e-01	2.5911e+00	-2.2949e-04	0.0000e+00	0.0000e+00
1.3054e+00	9.0137e-01	2.5790e+00	1.1009e-02	0.0000e+00	0.0000e+00
1.5230e+00	9.0137e-01	2.5671e+00	8.1896e-03	0.0000e+00	0.0000e+00
1.7406e+00	9.0137e-01	2.5682e+00	-3.3755e-03	0.0000e+00	0.0000e+00
1.9581e+00	9.0137e-01	2.5711e+00	2.1228e-04	0.0000e+00	0.0000e+00
2.1757e+00	9.0137e-01	2.5855e+00	-1.8143e-03	0.0000e+00	0.0000e+00
2.3933e+00	9.0137e-01	2.5764e+00	-1.8252e-03	0.0000e+00	0.0000e+00
2.6109e+00	9.0137e-01	2.5757e+00	8.6532e-03	0.0000e+00	0.0000e+00
2.8284e+00	9.0137e-01	2.5600e+00	-6.2023e-03	0.0000e+00	0.0000e+00
3.0460e+00	9.0137e-01	2.5906e+00	2.4169e-03	0.0000e+00	0.0000e+00
3.2636e+00	9.0137e-01	2.5670e+00	2.5376e-03	0.0000e+00	0.0000e+00
3.4811e+00	9.0137e-01	2.5876e+00	5.5889e-03	0.0000e+00	0.0000e+00
2.1757e-01	6.8380e-01	2.5737e+00	1.1157e-02	0.0000e+00	0.0000e+00
4.3514e-01	6.8380e-01	2.5851e+00	-6.6057e-03	0.0000e+00	0.0000e+00
6.5271e-01	6.8380e-01	2.5799e+00	-2.6620e-03	0.0000e+00	0.0000e+00
8.7029e-01	6.8380e-01	2.5704e+00	-8.0647e-03	0.0000e+00	0.0000e+00
1.0879e+00	6.8380e-01	2.5929e+00	1.8055e-03	0.0000e+00	0.0000e+00
1.3054e+00	6.8380e-01	2.5700e+00	9.1361e-03	0.0000e+00	0.0000e+00
1.5230e+00	6.8380e-01	2.5805e+00	-1.1196e-02	0.0000e+00	0.0000e+00
1.7406e+00	6.8380e-01	2.5793e+00	-2.0842e-04	0.0000e+00	0.0000e+00
1.9581e+00	6.8380e-01	2.6085e+00	1.4832e-02	0.0000e+00	0.0000e+00
2.1757e+00	6.8380e-01	2.5839e+00	1.1990e-02	0.0000e+00	0.0000e+00
2.3933e+00	6.8380e-01	2.5762e+00	-1.3419e-02	0.0000e+00	0.0000e+00
2.6109e+00	6.8380e-01	2.5783e+00	-1.8783e-02	0.0000e+00	0.0000e+00
2.8284e+00	6.8380e-01	2.5734e+00	3.7251e-02	0.0000e+00	0.0000e+00
3.0460e+00	6.8380e-01	2.5742e+00	1.5776e-02	0.0000e+00	0.0000e+00
3.2636e+00	6.8380e-01	2.5640e+00	3.0510e-03	0.0000e+00	0.0000e+00
3.4811e+00	6.8380e-01	2.5799e+00	8.6734e-03	0.0000e+00	0.0000e+00
2.1757e-01	4.6622e-01	2.5813e+00	5.1439e-03	0.0000e+00	0.0000e+00
4.3514e-01	4.6622e-01	2.6006e+00	-3.9062e-02	0.0000e+00	0.0000e+00
6.5271e-01	4.6622e-01	2.5884e+00	-4.7613e-03	0.0000e+00	0.0000e+00
8.7029e-01	4.6622e-01	2.5688e+00	1.8390e-03	0.0000e+00	0.0000e+00
1.0879e+00	4.6622e-01	2.5898e+00	1.3594e-02	0.0000e+00	0.0000e+00
1.3054e+00	4.6622e-01	2.5758e+00	-1.4524e-02	0.0000e+00	0.0000e+00
1.5230e+00	4.6622e-01	2.5807e+00	-2.5802e-02	0.0000e+00	0.0000e+00
1.7406e+00	4.6622e-01	2.5889e+00	-6.8897e-03	0.0000e+00	0.0000e+00
1.9581e+00	4.6622e-01	2.5849e+00	-6.5292e-03	0.0000e+00	0.0000e+00
2.1757e+00	4.6622e-01	2.5812e+00	-5.7067e-03	0.0000e+00	0.0000e+00
2.3933e+00	4.6622e-01	2.5761e+00	5.1141e-03	0.0000e+00	0.0000e+00
2.6109e+00	4.6622e-01	2.5844e+00	-9.2668e-03	0.0000e+00	0.0000e+00
2.8284e+00	4.6622e-01	2.5772e+00	-2.9231e-02	0.0000e+00	0.0000e+00
3.0460e+00	4.6622e-01	2.5836e+00	-9.2956e-03	0.0000e+00	0.0000e+00
3.2636e+00	4.6622e-01	2.5770e+00	-8.2900e-03	0.0000e+00	0.0000e+00
3.4811e+00	4.6622e-01	2.5820e+00	-3.6902e-03	0.0000e+00	0.0000e+00
2.1757e-01	2.4865e-01	2.5731e+00	-3.4358e-03	0.0000e+00	0.0000e+00
4.3514e-01	2.4865e-01	2.5858e+00	-6.0634e-03	0.0000e+00	0.0000e+00
6.5271e-01	2.4865e-01	2.5732e+00	-6.4932e-03	0.0000e+00	0.0000e+00
8.7029e-01	2.4865e-01	2.5857e+00	1.2554e-02	0.0000e+00	0.0000e+00
1.0879e+00	2.4865e-01	2.5858e+00	-2.5066e-03	0.0000e+00	0.0000e+00
1.3054e+00	2.4865e-01	2.5860e+00	5.6806e-03	0.0000e+00	0.0000e+00
1.5230e+00	2.4865e-01	2.5808e+00	-5.6969e-04	0.0000e+00	0.0000e+00
1.7406e+00	2.4865e-01	2.5770e+00	-1.1754e-03	0.0000e+00	0.0000e+00
1.9581e+00	2.4865e-01	2.5788e+00	-4.4298e-03	0.0000e+00	0.0000e+00
2.1757e+00	2.4865e-01	2.5692e+00	6.1973e-04	0.0000e+00	0.0000e+00
2.3933e+00	2.4865e-01	2.5832e+00	-1.0464e-02	0.0000e+00	0.0000e+00
2.6109e+00	2.4865e-01	2.5926e+00	8.7919e-03	0.0000e+00	0.0000e+00
2.8284e+00	2.4865e-01	2.5815e+00	1.0913e-02	0.0000e+00	0.0000e+00
3.0460e+00	2.4865e-01	2.5805e+00	-2.8742e-03	0.0000e+00	0.0000e+00
3.2636e+00	2.4865e-01	2.5848e+00	-1.4440e-02	0.0000e+00	0.0000e+00
3.4811e+00	2.4865e-01	2.5851e+00	-1.3213e-02	0.0000e+00	0.0000e+00
