# x	y	u	v	flags	mask
7.2213e+00	1.0702e+01	-2.9832e-01	-4.4591e-01	1.0000e+00	0.0000e+00
7.4389e+00	1.0702e+01	1.3668e-01	-4.2890e-01	1.0000e+00	0.0000e+00
7.6564e+00	1.0702e+01	4.4055e-01	-4.1813e-01	1.0000e+00	0.0000e+00
7.8740e+00	1.0702e+01	7.1546e-01	-4.8076e-01	1.0000e+00	0.0000e+00
8.0916e+00	1.0702e+01	8.4326e-01	-5.7466e-01	1.0000e+00	0.0000e+00
8.3092e+00	1.0702e+01	1.5041e+00	7.6266e-02	0.0000e+00	0.0000e+00
8.5267e+00	1.0702e+01	5.6819e-01	-7.0963e-01	1.0000e+00	0.0000e+00
8.7443e+00	1.0702e+01	5.5242e-01	-7.0526e-01	1.0000e+00	0.0000e+00
8.9619e+00	1.0702e+01	4.8784e-01	-7.2367e-01	1.0000e+00	0.0000e+00
9.1794e+00	1.0702e+01	1.5508e+00	-1.4462e+00	0.0000e+00	0.0000e+00
9.3970e+00	1.0702e+01	5.5509e-01	-4.0553e-01	1.0000e+00	0.0000e+00
9.6146e+00	1.0702e+01	4.5103e-01	-3.6875e-01	1.0000e+00	0.0000e+00
9.8322e+00	1.0702e+01	3.0608e-01	-1.5325e-01	1.0000e+00	0.0000e+00
1.0050e+01	1.0702e+01	4.9354e-01	-7.3949e-02	1.0000e+00	0.0000e+00
1.0267e+01	1.0702e+01	-1.4795e+00	-1.4928e+00	0.0000e+00	0.0000e+00
1.0485e+01	1.0702e+01	5.0913e-01	-4.5407e-02	1.0000e+00	0.0000e+00
1.0702e+01	1.0702e+01	4.6890e-01	-3.2068e-01	1.0000e+00	0.0000e+00
1.0920e+01	1.0702e+01	6.0095e-01	-3.9993e-01	1.0000e+00	0.0000e+00
1.1138e+01	1.0702e+01	-2.6939e-01	-1.5989e-01	0.0000e+00	0.0000e+00
1.1355e+01	1.0702e+01	5.6586e-02	-8.9253e-01	0.0000e+00	0.0000e+00
1.1573e+01	1.0702e+01	9.0769e-01	-6.0518e-01	1.0000e+00	0.0000e+00
1.1790e+01	1.0702e+01	8.9136e-01	-6.0454e-01	1.0000e+00	0.0000e+00
1.2008e+01	1.0702e+01	8.7833e-01	-6.4015e-01	1.0000e+00	0.0000e+00
1.2225e+01	1.0702e+01	9.1975e-01	-6.9232e-01	1.0000e+00	0.0000e+00
1.2443e+01	1.0702e+01	9.2288e-01	-7.6643e-01	1.0000e+00	0.0000e+00
1.2661e+01	1.0702e+01	9.6742e-01	-7.9544e-01	1.0000e+00	0.0000e+00
1.2878e+01	1.0702e+01	1.0575e+00	-8.3310e-01	1.0000e+00	0.0000e+00
1.3096e+01	1.0702e+01	6.1640e-01	-1.4281e+00	0.0000e+00	0.0000e+00
1.3313e+01	1.0702e+01	1.0870e-01	-1.3731e+00	0.0000e+00	0.0000e+00
1.3531e+01	1.0702e+01	1.4437e+00	-1.3862e+00	0.0000e+00	0.0000e+00
1.3748e+01	1.0702e+01	1.2381e+00	-6.7064e-01	1.0000e+00	0.0000e+00
1.3966e+01	1.0702e+01	1.5743e+00	-6.7945e-01	0.0000e+00	0.0000e+00
1.4184e+01	1.0702e+01	1.0187e+00	-8.8727e-01	0.0000e+00	0.0000e+00
1.4401e+01	1.0702e+01	8.5366e-01	-2.3483e-01	0.0000e+00	0.0000e+00
1.4619e+01	1.0702e+01	5.7138e-01	6.4900e-02	0.0000e+00	0.0000e+00
1.4836e+01	1.0702e+01	1.2193e+00	-3.7347e-01	0.0000e+00	0.0000e+00
1.5054e+01	1.0702e+01	1.1670e+00	-5.1651e-01	0.0000e+00	0.0000e+00
1.5271e+01	1.0702e+01	1.4494e+00	-2.4530e-01	0.0000e+00	0.0000e+00
1.5489e+01	1.0702e+01	1.4934e+00	-4.5142e-01	0.0000e+00	0.0000e+00
1.5707e+01	1.0702e+01	6.8250e-01	-2.4457e-01	0.0000e+00	0.0000e+00
1.5924e+01	1.0702e+01	1.0798e+00	-3.5326e-01	1.0000e+00	0.0000e+00
1.6142e+01	1.0702e+01	7.7984e-01	-3.5892e-01	1.0000e+00	0.0000e+00
1.6359e+01	1.0702e+01	6.4535e-01	-3.3468e-01	1.0000e+00	0.0000e+00
1.6577e+01	1.0702e+01	1.2109e+00	-4.4500e-01	0.0000e+00	0.0000e+00
1.6794e+01	1.0702e+01	-1.5804e+00	-7.8707e-01	0.0000e+00	0.0000e+00
1.7012e+01	1.0702e+01	8.3309e-01	1.2724e-01	0.0000e+00	0.0000e+00
1.7230e+01	1.0702e+01	3.0814e-01	-3.6238e-01	1.0000e+00	0.0000e+00
1.7447e+01	1.0702e+01	2.1113e-01	-3.1398e-01	1.0000e+00	0.0000e+00
1.7665e+01	1.0702e+01	3.7300e-01	-2.3919e-01	1.0000e+00	0.0000e+00
1.7882e+01	1.0702e+01	3.3446e-01	6.0664e-01	0.0000e+00	0.0000e+00
1.8100e+01	1.0702e+01	1.1144e-01	1.7250e-01	0.0000e+00	0.0000e+00
1.8317e+01	1.0702e+01	-2.9731e-01	1.0496e-01	0.0000e+00	0.0000e+00
1.8535e+01	1.0702e+01	-1.7809e-02	2.1669e-01	0.0000e+00	0.0000e+00
1.8753e+01	1.0702e+01	3.7243e-01	2.4670e-01	0.0000e+00	0.0000e+00
1.8970e+01	1.0702e+01	4.6645e-01	4.0609e-01	0.0000e+00	0.0000e+00
1.9188e+01	1.0702e+01	5.4425e-01	2.9408e-01	0.0000e+00	0.0000e+00
1.9405e+01	1.0702e+01	3.5758e-01	6.2305e-02	0.0000e+00	0.0000e+00
1.9623e+01	1.0702e+01	3.0785e-01	8.2037e-03	0.0000e+00	0.0000e+00
2.5901e-01	1.0485e+01	8.0948e-01	-7.9664e-01	1.0000e+00	0.0000e+00
4.7659e-01	1.0485e+01	1.5660e+00	-1.5431e+00	0.0000e+00	0.0000e+00
6.9416e-01	1.0485e+01	1.4519e+00	-1.4896e+00	0.0000e+00	0.0000e+00
9.1173e-01	1.0485e+01	4.0651e-01	-6.5783e-01	1.0000e+00	0.0000e+00
1.1293e+00	1.0485e+01	1.9418e-01	-5.5954e-01	1.0000e+00	0.0000e+00
